YEAR,GDP_GROWTH,EXPORT_INDEX,UNEMPLOYMENT
1961,2.3,,6.699999809
1962,6.1,,5.5
1963,4.4,,5.699999809
1964,5.8,,5.199999809
1965,6.4,,4.5
1966,6.5,,3.799999952
1967,2.5,,3.799999952
1968,4.8,,3.599999905
1969,3.1,,3.5
1970,-0.254079593,,4.900000095
1971,3.293362378,,5.900000095
1972,5.258895358,,5.599999905
1973,5.64571947,,4.900000095
1974,-0.540546529,,5.599999905
1975,-0.205464012,,8.5
1976,5.388139227,,7.699999809
1977,4.624159207,,7.099999905
1978,5.535302693,,6.099999905
1979,3.166150271,,5.800000191
1980,-0.256751931,31.37550273,7.099999905
1981,2.537718698,30.85024263,7.599999905
1982,-1.802874453,29.25160157,9.699999809
1983,4.583927316,28.97139141,9.600000381
1984,7.236619994,30.83060327,7.5
1985,4.169655954,31.82655595,7.199999809
1986,3.462651713,36.77922686,7
1987,3.459572555,42.85409537,6.199999809
1988,4.177046384,48.86304831,5.5
1989,3.672656329,52.05480024,5.300000191
1990,1.885960323,59.50854593,5.599999905
1991,-0.108259105,60.40394803,6.800000191
1992,3.522442494,64.15912023,7.5
1993,2.752844327,63.13346529,6.900000095
1994,4.028839064,71.25175228,6.118700027
1995,2.684287132,74.78316141,5.650400162
1996,3.772501319,79.94099125,5.451099873
1997,4.447216343,88.13993283,5.000299931
1998,4.481407555,87.2390711,4.510499954
1999,4.753235989,88.98592947,4.218800068
2000,4.127484014,100,3.992000103
2001,0.998340795,93.24507173,4.731299877
2002,1.74169525,88.64139206,5.783199787
2003,2.861210767,92.69143312,5.988699913
2004,3.798891127,104.2148921,5.528600216
2005,3.513213797,115.2399612,5.083499908
2006,2.854972292,131.2115848,4.623000145
2007,1.876171458,146.8439146,4.622099876
2008,-0.136579805,164.6517921,5.784200191
2009,-2.536757066,135.058024,9.254199982
2010,2.563766559,163.5075545,9.633399963
2011,1.550835506,189.5989093,8.949199677
2012,2.249545852,197.6809589,8.069399834
2013,1.842081071,202.0151602,7.374899864
2014,2.451973035,207.2508754,6.167500019
2015,2.880910466,192.1649329,5.28000021
2016,1.56721517,185.5706992,4.86920023
2017,2.21701033,197.7538565,4.355199814
2018,2.927322728,213.0647971,3.89560008
,,,3.669199944
